,onset,duration,block_type,event_type,target_group,category,duration_str,orientation,task_relevance,stim_id,response_time,response,probe_order,congruency,online,participant_id
40,107.5,1.5,surprise,probe_orientation,Face,face,long,right,target,TargetFace1Right.png,3.892,right,durationFirst,congruent,False,Sub122
41,116.714,1.5,surprise,probe_duration,Face,face,long,right,target,TargetFace1Right.png,6.063,short,durationFirst,congruent,False,Sub122
42,107.5,1.5,surprise,probe_orientation,Face,face,long,right,target,TargetFace2Right.png,5.7410000000000005,right,orientationFirst,incongruent,False,Sub123
43,117.069,1.5,surprise,probe_duration,Face,face,long,right,target,TargetFace2Right.png,3.64,short,orientationFirst,incongruent,False,Sub123
44,107.5,1.5,surprise,probe_orientation,Object,object,long,right,target,TargetObject2Right.png,8.204,center,orientationFirst,incongruent,False,Sub124
45,122.568,1.5,surprise,probe_duration,Object,object,long,right,target,TargetObject2Right.png,4.46,short,orientationFirst,incongruent,False,Sub124
46,107.5,1.5,surprise,probe_orientation,Face,face,long,center,target,TargetFace1Center.png,4.5920000000000005,center,durationFirst,congruent,False,Sub126
47,115.859,1.5,surprise,probe_duration,Face,face,long,center,target,TargetFace1Center.png,8.283,long,durationFirst,congruent,False,Sub126
48,107.5,0.5,surprise,probe_orientation,Object,object,short,center,target,TargetObject1Center.png,4.238,left,durationFirst,incongruent,True,Sub937748
49,115.63,0.5,surprise,probe_duration,Object,object,short,center,target,TargetObject1Center.png,5.929,short,durationFirst,incongruent,True,Sub937748
50,107.5,0.5,surprise,probe_orientation,Face,face,short,center,target,TargetFace1Center.png,4.948,center,durationFirst,incongruent,True,Sub937749
51,115.903,0.5,surprise,probe_duration,Face,face,short,center,target,TargetFace1Center.png,6.199,short,durationFirst,incongruent,True,Sub937749
52,107.5,0.5,surprise,probe_orientation,Object,object,short,center,target,TargetObject2Center.png,5.849,left,orientationFirst,congruent,True,Sub937752
53,118.629,0.5,surprise,probe_duration,Object,object,short,center,target,TargetObject2Center.png,5.737,short,orientationFirst,congruent,True,Sub937752
54,107.5,0.5,surprise,probe_orientation,Face,face,short,left,target,TargetFace1Left.png,3.378,left,durationFirst,congruent,True,Sub937754
55,114.657,0.5,surprise,probe_duration,Face,face,short,left,target,TargetFace1Left.png,4.274,short,durationFirst,congruent,True,Sub937754
56,107.5,0.5,surprise,probe_orientation,Object,object,short,left,target,TargetObject2Left.png,10.681,left,orientationFirst,incongruent,True,Sub937772
57,124.204,0.5,surprise,probe_duration,Object,object,short,left,target,TargetObject2Left.png,5.55,short,orientationFirst,incongruent,True,Sub937772
58,107.5,0.5,surprise,probe_orientation,Object,object,short,left,target,TargetObject1Left.png,8.584,center,durationFirst,congruent,True,Sub945457
59,119.071,0.5,surprise,probe_duration,Object,object,short,left,target,TargetObject1Left.png,8.481,short,durationFirst,congruent,True,Sub945457
60,107.5,0.5,surprise,probe_orientation,Face,face,short,left,target,TargetFace2Left.png,7.186,left,orientationFirst,incongruent,True,Sub945460
61,120.39,0.5,surprise,probe_duration,Face,face,short,left,target,TargetFace2Left.png,4.988,short,orientationFirst,incongruent,True,Sub945460
62,107.5,0.5,surprise,probe_orientation,Object,object,short,right,target,TargetObject2Right.png,3.987,right,orientationFirst,congruent,True,Sub945827
63,115.885,0.5,surprise,probe_duration,Object,object,short,right,target,TargetObject2Right.png,4.909,short,orientationFirst,congruent,True,Sub945827
64,107.5,1.5,surprise,probe_orientation,Object,object,long,center,target,TargetObject1Center.png,5.676,center,durationFirst,congruent,True,Sub945829
65,116.597,1.5,surprise,probe_duration,Object,object,long,center,target,TargetObject1Center.png,3.356,long,durationFirst,congruent,True,Sub945829
66,107.5,1.5,surprise,probe_orientation,Face,face,long,center,target,TargetFace1Center.png,4.405,center,durationFirst,congruent,True,Sub945830
67,115.871,1.5,surprise,probe_duration,Face,face,long,center,target,TargetFace1Center.png,6.603,long,durationFirst,congruent,True,Sub945830
68,107.5,1.5,surprise,probe_orientation,Face,face,long,center,target,TargetFace2Center.png,4.61,center,orientationFirst,incongruent,True,Sub945832
69,117.08,1.5,surprise,probe_duration,Face,face,long,center,target,TargetFace2Center.png,11.855,short,orientationFirst,incongruent,True,Sub945832
70,107.5,1.5,surprise,probe_orientation,Face,face,long,right,target,TargetFace2Right.png,7.055,right,orientationFirst,incongruent,True,Sub945840
71,122.465,1.5,surprise,probe_duration,Face,face,long,right,target,TargetFace2Right.png,9.213,long,orientationFirst,incongruent,True,Sub945840
72,107.5,1.5,surprise,probe_orientation,Object,object,long,right,target,TargetObject2Right.png,11.599,right,orientationFirst,incongruent,True,Sub945841
73,124.103,1.5,surprise,probe_duration,Object,object,long,right,target,TargetObject2Right.png,10.254,short,orientationFirst,incongruent,True,Sub945841
74,107.5,0.5,surprise,probe_orientation,Object,object,short,center,target,TargetObject1Center.png,4.357,center,durationFirst,incongruent,True,Sub945844
75,115.136,0.5,surprise,probe_duration,Object,object,short,center,target,TargetObject1Center.png,4.6450000000000005,short,durationFirst,incongruent,True,Sub945844
76,107.5,0.5,surprise,probe_orientation,Face,face,short,center,target,TargetFace1Center.png,11.955,center,durationFirst,incongruent,True,Sub945845
77,123.661,0.5,surprise,probe_duration,Face,face,short,center,target,TargetFace1Center.png,16.307,short,durationFirst,incongruent,True,Sub945845
78,107.5,0.5,surprise,probe_orientation,Face,face,short,center,target,TargetFace2Center.png,6.129,center,orientationFirst,congruent,True,Sub945849
79,120.331,0.5,surprise,probe_duration,Face,face,short,center,target,TargetFace2Center.png,10.567,short,orientationFirst,congruent,True,Sub945849
80,107.5,0.5,surprise,probe_orientation,Object,object,short,center,target,TargetObject2Center.png,3.38,center,orientationFirst,congruent,True,Sub945850
81,114.45,0.5,surprise,probe_duration,Object,object,short,center,target,TargetObject2Center.png,2.985,long,orientationFirst,congruent,True,Sub945850
82,107.5,0.5,surprise,probe_orientation,Object,object,short,left,target,TargetObject1Left.png,2.993,center,durationFirst,congruent,True,Sub945852
83,114.229,0.5,surprise,probe_duration,Object,object,short,left,target,TargetObject1Left.png,3.879,short,durationFirst,congruent,True,Sub945852
84,107.5,0.5,surprise,probe_orientation,Object,object,short,left,target,TargetObject2Left.png,14.194,center,orientationFirst,incongruent,True,Sub945860
85,127.877,0.5,surprise,probe_duration,Object,object,short,left,target,TargetObject2Left.png,5.62,long,orientationFirst,incongruent,True,Sub945860
86,107.5,0.5,surprise,probe_orientation,Face,face,short,center,target,TargetFace2Center.png,5.843,center,orientationFirst,congruent,True,Sub945878
87,117.633,0.5,surprise,probe_duration,Face,face,short,center,target,TargetFace2Center.png,2.286,short,orientationFirst,congruent,True,Sub945878
88,107.5,0.5,surprise,probe_orientation,Face,face,short,right,target,TargetFace1Right.png,3.16,right,durationFirst,incongruent,True,Sub945891
89,114.014,0.5,surprise,probe_duration,Face,face,short,right,target,TargetFace1Right.png,4.586,short,durationFirst,incongruent,True,Sub945891
90,107.5,0.5,surprise,probe_orientation,Object,object,short,right,target,TargetObject1Right.png,4.452,right,durationFirst,incongruent,True,Sub945894
91,116.064,0.5,surprise,probe_duration,Object,object,short,right,target,TargetObject1Right.png,31.579,short,durationFirst,incongruent,True,Sub945894
92,107.5,1.5,surprise,probe_orientation,Face,face,long,left,target,TargetFace1Left.png,5.158,left,durationFirst,incongruent,True,Sub945922
93,115.862,1.5,surprise,probe_duration,Face,face,long,left,target,TargetFace1Left.png,7.47,long,durationFirst,incongruent,True,Sub945922
94,107.5,1.5,surprise,probe_orientation,Object,object,long,center,target,TargetObject2Center.png,2.366,center,orientationFirst,incongruent,True,Sub945965
95,113.114,1.5,surprise,probe_duration,Object,object,long,center,target,TargetObject2Center.png,1.183,short,orientationFirst,incongruent,True,Sub945965
96,107.5,1.5,surprise,probe_orientation,Face,face,long,right,target,TargetFace1Right.png,6.933,right,durationFirst,congruent,True,Sub945968
97,118.587,1.5,surprise,probe_duration,Face,face,long,right,target,TargetFace1Right.png,6.319,short,durationFirst,congruent,True,Sub945968
98,107.5,1.5,surprise,probe_orientation,Object,object,long,left,target,TargetObject1Left.png,4.5200000000000005,center,durationFirst,incongruent,True,Sub945987
99,115.05,1.5,surprise,probe_duration,Object,object,long,left,target,TargetObject1Left.png,4.429,short,durationFirst,incongruent,True,Sub945987
100,107.5,1.5,surprise,probe_orientation,Object,object,long,left,target,TargetObject2Left.png,3.397,left,orientationFirst,congruent,True,Sub946146
101,115.205,1.5,surprise,probe_duration,Object,object,long,left,target,TargetObject2Left.png,3.741,short,orientationFirst,congruent,True,Sub946146
102,107.5,1.5,surprise,probe_orientation,Object,object,long,right,target,TargetObject1Right.png,8.781,center,durationFirst,congruent,True,Sub946148
103,122.35,1.5,surprise,probe_duration,Object,object,long,right,target,TargetObject1Right.png,6.299,short,durationFirst,congruent,True,Sub946148
104,107.5,0.5,surprise,probe_orientation,Object,object,short,right,target,TargetObject1Right.png,3.091,center,durationFirst,incongruent,True,Sub946150
105,114.318,0.5,surprise,probe_duration,Object,object,short,right,target,TargetObject1Right.png,5.212,short,durationFirst,incongruent,True,Sub946150
106,107.5,1.5,surprise,probe_orientation,Object,object,long,center,target,TargetObject1Center.png,11.925,right,durationFirst,congruent,True,Sub946156
107,128.005,1.5,surprise,probe_duration,Object,object,long,center,target,TargetObject1Center.png,6.932,long,durationFirst,congruent,True,Sub946156
108,107.5,0.5,surprise,probe_orientation,Object,object,short,right,target,TargetObject2Right.png,6.767,right,orientationFirst,congruent,True,Sub946168
109,118.477,0.5,surprise,probe_duration,Object,object,short,right,target,TargetObject2Right.png,8.278,short,orientationFirst,congruent,True,Sub946168
110,107.5,0.5,surprise,probe_orientation,Face,face,short,left,target,TargetFace1Left.png,17.67,left,durationFirst,congruent,True,Sub946170
111,130.265,0.5,surprise,probe_duration,Face,face,short,left,target,TargetFace1Left.png,8.779,short,durationFirst,congruent,True,Sub946170
112,107.5,0.5,surprise,probe_orientation,Face,face,short,left,target,TargetFace2Left.png,14.506,center,orientationFirst,incongruent,True,Sub946190
113,135.18,0.5,surprise,probe_duration,Face,face,short,left,target,TargetFace2Left.png,4.025,short,orientationFirst,incongruent,True,Sub946190
114,107.5,0.5,surprise,probe_orientation,Face,face,short,right,target,TargetFace2Right.png,3.749,right,orientationFirst,congruent,True,Sub946221
115,115.574,0.5,surprise,probe_duration,Face,face,short,right,target,TargetFace2Right.png,6.341,short,orientationFirst,congruent,True,Sub946221
116,107.5,1.5,surprise,probe_orientation,Object,object,long,center,target,TargetObject2Center.png,7.343,center,orientationFirst,incongruent,True,Sub946224
117,119.659,1.5,surprise,probe_duration,Object,object,long,center,target,TargetObject2Center.png,4.343,short,orientationFirst,incongruent,True,Sub946224
118,107.5,1.5,surprise,probe_orientation,Face,face,long,center,target,TargetFace2Center.png,4.47,center,orientationFirst,incongruent,True,Sub946232
119,120.07,1.5,surprise,probe_duration,Face,face,long,center,target,TargetFace2Center.png,4.899,long,orientationFirst,incongruent,True,Sub946232
120,107.5,0.5,surprise,probe_orientation,Face,face,short,right,target,TargetFace1Right.png,7.689,right,durationFirst,incongruent,True,Sub946240
121,118.66,0.5,surprise,probe_duration,Face,face,short,right,target,TargetFace1Right.png,7.248,short,durationFirst,incongruent,True,Sub946240
122,107.5,1.5,surprise,probe_orientation,Object,object,long,left,target,TargetObject1Left.png,7.731,center,durationFirst,incongruent,True,Sub946266
123,120.082,1.5,surprise,probe_duration,Object,object,long,left,target,TargetObject1Left.png,6.7620000000000005,long,durationFirst,incongruent,True,Sub946266
124,107.5,1.5,surprise,probe_orientation,Face,face,long,left,target,TargetFace1Left.png,3.067,left,durationFirst,incongruent,True,Sub946271
